Date,Hour,Minute,Weekday,Weekday_number,Is_lesson,Online_friends
27,22,58,Thursday,3,0,34
27,22,59,Thursday,3,0,37
27,23,0,Thursday,3,0,41
27,23,1,Thursday,3,0,40
27,23,2,Thursday,3,0,35
27,23,3,Thursday,3,0,32
27,23,4,Thursday,3,0,35
27,23,5,Thursday,3,0,38
27,23,6,Thursday,3,0,38
27,23,7,Thursday,3,0,34
27,23,8,Thursday,3,0,35
27,23,9,Thursday,3,0,32
27,23,10,Thursday,3,0,34
27,23,11,Thursday,3,0,32
27,23,12,Thursday,3,0,31
27,23,13,Thursday,3,0,30
27,23,14,Thursday,3,0,27
27,23,15,Thursday,3,0,26
27,23,16,Thursday,3,0,30
27,23,17,Thursday,3,0,29
27,23,18,Thursday,3,0,27
27,23,19,Thursday,3,0,26
27,23,20,Thursday,3,0,28
27,23,21,Thursday,3,0,32
27,23,22,Thursday,3,0,36
27,23,23,Thursday,3,0,35
27,23,24,Thursday,3,0,38
27,23,25,Thursday,3,0,34
27,23,26,Thursday,3,0,33
27,23,27,Thursday,3,0,32
27,23,28,Thursday,3,0,34
27,23,29,Thursday,3,0,30
27,23,30,Thursday,3,0,29
27,23,31,Thursday,3,0,26
27,23,32,Thursday,3,0,26
27,23,33,Thursday,3,0,28
27,23,34,Thursday,3,0,29
27,23,35,Thursday,3,0,28
27,23,36,Thursday,3,0,31
27,23,37,Thursday,3,0,31
27,23,38,Thursday,3,0,30
27,23,39,Thursday,3,0,26
27,23,40,Thursday,3,0,25
27,23,41,Thursday,3,0,29
27,23,42,Thursday,3,0,32
27,23,43,Thursday,3,0,32
27,23,44,Thursday,3,0,30
27,23,45,Thursday,3,0,27
27,23,46,Thursday,3,0,26
27,23,47,Thursday,3,0,28
27,23,48,Thursday,3,0,28
27,23,49,Thursday,3,0,28
27,23,50,Thursday,3,0,33
27,23,51,Thursday,3,0,34
27,23,52,Thursday,3,0,33
27,23,53,Thursday,3,0,28
27,23,54,Thursday,3,0,29
27,23,55,Thursday,3,0,29
27,23,56,Thursday,3,0,26
27,23,57,Thursday,3,0,28
27,23,58,Thursday,3,0,27
27,23,59,Thursday,3,0,25
28,0,0,Friday,4,0,25
28,0,1,Friday,4,0,23
28,0,2,Friday,4,0,24
28,0,3,Friday,4,0,25
28,0,4,Friday,4,0,24
28,0,5,Friday,4,0,23
28,0,6,Friday,4,0,24
28,0,7,Friday,4,0,22
28,0,8,Friday,4,0,23
28,0,9,Friday,4,0,23
28,0,10,Friday,4,0,21
28,0,11,Friday,4,0,21
28,0,12,Friday,4,0,20
28,0,13,Friday,4,0,18
28,0,14,Friday,4,0,20
28,0,15,Friday,4,0,22
28,0,16,Friday,4,0,23
28,0,17,Friday,4,0,23
28,0,18,Friday,4,0,23
28,0,19,Friday,4,0,22
28,0,20,Friday,4,0,17
28,0,21,Friday,4,0,20
28,0,22,Friday,4,0,18
28,0,23,Friday,4,0,16
28,0,24,Friday,4,0,14
28,0,25,Friday,4,0,14
28,0,26,Friday,4,0,13
28,0,27,Friday,4,0,13
28,0,28,Friday,4,0,12
28,0,29,Friday,4,0,11
28,0,30,Friday,4,0,11
28,0,31,Friday,4,0,11
28,0,32,Friday,4,0,12
28,0,33,Friday,4,0,14
28,0,34,Friday,4,0,16
28,0,35,Friday,4,0,14
28,0,36,Friday,4,0,16
28,0,37,Friday,4,0,14
28,0,38,Friday,4,0,13
28,0,39,Friday,4,0,16
28,0,40,Friday,4,0,13
28,0,41,Friday,4,0,10
28,0,42,Friday,4,0,13
28,0,43,Friday,4,0,9
28,0,44,Friday,4,0,6
28,0,45,Friday,4,0,4
28,0,46,Friday,4,0,8
28,0,47,Friday,4,0,8
28,0,48,Friday,4,0,8
28,0,49,Friday,4,0,7
28,0,50,Friday,4,0,6
28,0,51,Friday,4,0,7
28,0,52,Friday,4,0,9
28,0,53,Friday,4,0,8
28,0,54,Friday,4,0,8
28,0,55,Friday,4,0,8
28,0,56,Friday,4,0,10
28,0,57,Friday,4,0,9
28,0,58,Friday,4,0,12
28,0,59,Friday,4,0,13
28,1,0,Friday,4,0,12
28,1,1,Friday,4,0,12
28,1,2,Friday,4,0,13
28,1,3,Friday,4,0,10
28,1,4,Friday,4,0,10
28,1,5,Friday,4,0,10
28,1,6,Friday,4,0,10
28,1,7,Friday,4,0,12
28,1,8,Friday,4,0,13
28,1,9,Friday,4,0,12
28,1,10,Friday,4,0,11
28,1,11,Friday,4,0,10
28,1,12,Friday,4,0,9
28,1,13,Friday,4,0,7
28,1,14,Friday,4,0,6
28,1,15,Friday,4,0,5
28,1,16,Friday,4,0,5
28,1,17,Friday,4,0,6
28,1,18,Friday,4,0,6
28,1,19,Friday,4,0,5
28,1,20,Friday,4,0,3
28,1,21,Friday,4,0,4
28,1,22,Friday,4,0,4
28,1,23,Friday,4,0,4
28,1,24,Friday,4,0,6
28,1,25,Friday,4,0,5
28,1,26,Friday,4,0,8
28,1,27,Friday,4,0,6
28,1,28,Friday,4,0,4
28,1,29,Friday,4,0,5
28,1,30,Friday,4,0,5
28,1,31,Friday,4,0,4
28,1,32,Friday,4,0,6
28,1,33,Friday,4,0,6
28,1,34,Friday,4,0,6
28,1,35,Friday,4,0,5
28,1,36,Friday,4,0,5
28,1,37,Friday,4,0,6
28,1,38,Friday,4,0,7
28,1,39,Friday,4,0,7
28,1,40,Friday,4,0,5
28,1,41,Friday,4,0,4
28,1,42,Friday,4,0,5
28,1,43,Friday,4,0,5
28,1,44,Friday,4,0,6
28,1,45,Friday,4,0,5
28,1,46,Friday,4,0,5
28,1,47,Friday,4,0,6
28,1,48,Friday,4,0,7
28,1,49,Friday,4,0,7
28,1,50,Friday,4,0,6
28,1,51,Friday,4,0,8
28,1,52,Friday,4,0,7
28,1,53,Friday,4,0,7
28,1,54,Friday,4,0,7
28,1,55,Friday,4,0,6
28,1,56,Friday,4,0,7
28,1,57,Friday,4,0,6
28,1,58,Friday,4,0,4
28,1,59,Friday,4,0,4
28,2,0,Friday,4,0,6
28,2,1,Friday,4,0,5
28,2,2,Friday,4,0,5
28,2,3,Friday,4,0,5
28,2,4,Friday,4,0,5
28,2,5,Friday,4,0,4
28,2,6,Friday,4,0,5
28,2,7,Friday,4,0,4
28,2,8,Friday,4,0,4
28,2,9,Friday,4,0,3
28,2,10,Friday,4,0,4
28,2,11,Friday,4,0,3
28,2,12,Friday,4,0,3
28,2,13,Friday,4,0,4
28,2,14,Friday,4,0,4
28,2,15,Friday,4,0,5
28,2,16,Friday,4,0,4
28,2,17,Friday,4,0,5
28,2,18,Friday,4,0,5
28,2,19,Friday,4,0,4
28,2,20,Friday,4,0,3
28,2,21,Friday,4,0,3
28,2,22,Friday,4,0,6
28,2,23,Friday,4,0,5
28,2,24,Friday,4,0,6
28,2,25,Friday,4,0,4
28,2,26,Friday,4,0,3
28,2,27,Friday,4,0,2
28,2,28,Friday,4,0,2
28,2,29,Friday,4,0,2
28,2,30,Friday,4,0,1
28,2,31,Friday,4,0,2
28,2,32,Friday,4,0,4
28,2,33,Friday,4,0,4
28,2,34,Friday,4,0,4
28,2,35,Friday,4,0,4
28,2,36,Friday,4,0,3
28,2,37,Friday,4,0,3
28,2,38,Friday,4,0,3
28,2,39,Friday,4,0,3
28,2,40,Friday,4,0,2
28,2,41,Friday,4,0,1
28,2,42,Friday,4,0,1
28,2,43,Friday,4,0,1
28,2,44,Friday,4,0,2
28,2,45,Friday,4,0,2
28,2,46,Friday,4,0,3
28,2,47,Friday,4,0,4
28,2,48,Friday,4,0,4
28,2,49,Friday,4,0,4
28,2,50,Friday,4,0,4
28,2,51,Friday,4,0,4
28,2,52,Friday,4,0,4
28,2,53,Friday,4,0,3
28,2,54,Friday,4,0,4
28,2,55,Friday,4,0,2
28,2,56,Friday,4,0,2
28,2,57,Friday,4,0,2
28,2,58,Friday,4,0,1
28,2,59,Friday,4,0,1
28,3,0,Friday,4,0,1
28,3,1,Friday,4,0,1
28,3,2,Friday,4,0,1
28,3,3,Friday,4,0,1
28,3,4,Friday,4,0,1
28,3,5,Friday,4,0,1
28,3,6,Friday,4,0,0
28,3,7,Friday,4,0,0
28,3,8,Friday,4,0,0
28,3,9,Friday,4,0,0
28,3,10,Friday,4,0,0
28,3,11,Friday,4,0,0
28,3,12,Friday,4,0,0
28,3,13,Friday,4,0,1
28,3,14,Friday,4,0,2
28,3,15,Friday,4,0,1
28,3,16,Friday,4,0,1
28,3,17,Friday,4,0,1
28,3,18,Friday,4,0,2
28,3,19,Friday,4,0,2
28,3,20,Friday,4,0,2
28,3,21,Friday,4,0,1
28,3,22,Friday,4,0,1
28,3,23,Friday,4,0,1
28,3,24,Friday,4,0,1
28,3,25,Friday,4,0,1
28,3,26,Friday,4,0,1
28,3,27,Friday,4,0,1
28,3,28,Friday,4,0,1
28,3,29,Friday,4,0,2
28,3,30,Friday,4,0,1
28,3,31,Friday,4,0,0
28,3,32,Friday,4,0,0
28,3,33,Friday,4,0,1
28,3,34,Friday,4,0,1
28,3,35,Friday,4,0,1
28,3,36,Friday,4,0,1
28,3,37,Friday,4,0,1
28,3,38,Friday,4,0,1
28,3,39,Friday,4,0,1
28,3,40,Friday,4,0,1
28,3,41,Friday,4,0,1
28,3,42,Friday,4,0,1
28,3,43,Friday,4,0,0
28,3,44,Friday,4,0,0
28,3,45,Friday,4,0,0
28,3,46,Friday,4,0,2
28,3,47,Friday,4,0,2
28,3,48,Friday,4,0,2
28,3,49,Friday,4,0,2
28,3,50,Friday,4,0,2
28,3,51,Friday,4,0,2
28,3,52,Friday,4,0,2
28,3,53,Friday,4,0,1
28,3,54,Friday,4,0,1
28,3,55,Friday,4,0,1
28,3,56,Friday,4,0,1
28,3,57,Friday,4,0,1
28,3,58,Friday,4,0,0
28,3,59,Friday,4,0,0
28,4,0,Friday,4,0,0
28,4,1,Friday,4,0,0
28,4,2,Friday,4,0,0
28,4,3,Friday,4,0,0
28,4,4,Friday,4,0,0
28,4,5,Friday,4,0,0
28,4,6,Friday,4,0,0
28,4,7,Friday,4,0,0
28,4,8,Friday,4,0,0
28,4,9,Friday,4,0,0
28,4,10,Friday,4,0,0
28,4,11,Friday,4,0,0
28,4,12,Friday,4,0,0
28,4,13,Friday,4,0,0
28,4,14,Friday,4,0,0
28,4,15,Friday,4,0,0
28,4,16,Friday,4,0,1
28,4,17,Friday,4,0,1
28,4,18,Friday,4,0,1
28,4,19,Friday,4,0,1
28,4,20,Friday,4,0,1
28,4,21,Friday,4,0,1
28,4,22,Friday,4,0,1
28,4,23,Friday,4,0,0
28,4,24,Friday,4,0,1
28,4,25,Friday,4,0,1
28,4,26,Friday,4,0,1
28,4,27,Friday,4,0,1
28,4,28,Friday,4,0,1
28,4,29,Friday,4,0,1
28,4,30,Friday,4,0,1
28,4,31,Friday,4,0,1
28,4,32,Friday,4,0,0
28,4,33,Friday,4,0,0
28,4,34,Friday,4,0,0
28,4,35,Friday,4,0,0
28,4,36,Friday,4,0,0
28,4,37,Friday,4,0,0
28,4,38,Friday,4,0,1
28,4,39,Friday,4,0,0
28,4,40,Friday,4,0,0
28,4,41,Friday,4,0,0
28,4,42,Friday,4,0,1
28,4,43,Friday,4,0,2
28,4,44,Friday,4,0,2
28,4,45,Friday,4,0,2
28,4,46,Friday,4,0,2
28,4,47,Friday,4,0,3
28,4,48,Friday,4,0,2
28,4,49,Friday,4,0,2
28,4,50,Friday,4,0,2
28,4,51,Friday,4,0,2
28,4,52,Friday,4,0,1
28,4,53,Friday,4,0,1
28,4,54,Friday,4,0,0
28,4,55,Friday,4,0,0
28,4,56,Friday,4,0,0
28,4,57,Friday,4,0,0
28,4,58,Friday,4,0,0
28,4,59,Friday,4,0,0
28,5,0,Friday,4,0,0
28,5,1,Friday,4,0,1
28,5,2,Friday,4,0,1
28,5,3,Friday,4,0,1
28,5,4,Friday,4,0,1
28,5,5,Friday,4,0,1
28,5,6,Friday,4,0,0
28,5,7,Friday,4,0,0
28,5,8,Friday,4,0,0
28,5,9,Friday,4,0,0
28,5,10,Friday,4,0,0
28,5,11,Friday,4,0,0
28,5,12,Friday,4,0,0
28,5,13,Friday,4,0,0
28,5,14,Friday,4,0,0
28,5,15,Friday,4,0,0
28,5,16,Friday,4,0,0
28,5,17,Friday,4,0,0
28,5,18,Friday,4,0,0
28,5,19,Friday,4,0,0
28,5,20,Friday,4,0,0
28,5,21,Friday,4,0,0
28,5,22,Friday,4,0,0
28,5,23,Friday,4,0,0
28,5,24,Friday,4,0,0
28,5,25,Friday,4,0,1
28,5,26,Friday,4,0,2
28,5,27,Friday,4,0,2
28,5,28,Friday,4,0,2
28,5,29,Friday,4,0,2
28,5,30,Friday,4,0,1
28,5,31,Friday,4,0,1
28,5,32,Friday,4,0,1
28,5,33,Friday,4,0,3
28,5,34,Friday,4,0,3
28,5,35,Friday,4,0,2
28,5,36,Friday,4,0,2
28,5,37,Friday,4,0,2
28,5,38,Friday,4,0,1
28,5,39,Friday,4,0,1
28,5,40,Friday,4,0,0
28,5,41,Friday,4,0,0
28,5,42,Friday,4,0,0
28,5,43,Friday,4,0,0
28,5,44,Friday,4,0,0
28,5,45,Friday,4,0,0
28,5,46,Friday,4,0,1
28,5,47,Friday,4,0,1
28,5,48,Friday,4,0,1
28,5,49,Friday,4,0,1
28,5,50,Friday,4,0,1
28,5,51,Friday,4,0,1
28,5,52,Friday,4,0,0
28,5,54,Friday,4,0,0
28,5,55,Friday,4,0,0
28,5,56,Friday,4,0,1
28,5,57,Friday,4,0,1
